Poster,gRank,gTier,YO,SK,M1-5,M6-10,M11+
Banana Canada,2.0,Ozeki,Takakeisho,Abi,Daieisho,Takayasu,Kotokuzan
bartolimu,6.0,Maegashira,Shodai,Takanosho,Ichinojo,Takayasu,Yutakayama
Beeswax,7.0,Maegashira,Mitakeumi,Abi,Tamawashi,Takayasu,Kotoshoho
bessantj,1.0,Komusubi,Terunofuji,Hoshoryu,Ichinojo,Wakamotoharu,Myogiryu
Biosys,14.0,Juryo,Shodai,Abi,Onosho,Kotonowaka,Terutsuyoshi
Boogalo,15.0,Juryo,Takakeisho,Hoshoryu,Ichinojo,Wakamotoharu,Tochinoshin
Brut,2.0,Juryo,Mitakeumi,Hoshoryu,Tamawashi,Wakamotoharu,Ichiyamamoto
captainblastum,1.0,Komusubi,Terunofuji,Wakatakakage,Takarafuji,Tobizaru,Nishikigi
Charles Gnarwin,6.0,Maegashira,Terunofuji,Hoshoryu,Ura,Takayasu,Chiyomaru
Chinook,9.0,Maegashira,Terunofuji,Hoshoryu,Endo,Hokutofuji,Nishikigi
Communist Thoughts,14.0,Maegashira,Takakeisho,Abi,Ichinojo,Takayasu,Chiyomaru
Crusty Nutsack,2.0,Maegashira,Mitakeumi,Abi,Tamawashi,Sadanoumi,Yutakayama
Eli949,5.0,Maegashira,Terunofuji,Hoshoryu,Daieisho,Takayasu,Kotokuzan
Everyones Favorite Poster,15.0,Juryo,Takakeisho,Abi,Ura,Takayasu,Chiyonokuni
Firebatgyro,1.0,Juryo,Terunofuji,Wakatakakage,Meisei,Kotonowaka,Terutsuyoshi
Flinger,15.0,Juryo,Shodai,Wakatakakage,Ichinojo,Wakamotoharu,Myogiryu
Fluffdaddy,16.0,Maegashira,Mitakeumi,Abi,Onosho,Takayasu,Yutakayama
Gaghskull,7.0,Juryo,Terunofuji,Hoshoryu,Ura,Takayasu,Tochinoshin
GoatSeeGuy,1.0,Ozeki,Terunofuji,Hoshoryu,Ichinojo,Kotonowaka,Kotoshoho
Helianthus Annuus,8.0,Juryo,Mitakeumi,Hoshoryu,Ichinojo,Hokutofuji,Chiyomaru
Ice Phisherman,8.0,Maegashira,Mitakeumi,Abi,Ura,Kotonowaka,Chiyomaru
ilmucche,5.0,Juryo,Terunofuji,Takanosho,Endo,Okinoumi,Tochinoshin
Iron Chef Nex,15.0,Maegashira,Terunofuji,Hoshoryu,Ura,Takayasu,Kotoshoho
jmzero,7.0,Maegashira,Terunofuji,Hoshoryu,Endo,Hokutofuji,Myogiryu
Jobbo_Fett,4.0,Juryo,Terunofuji,Wakatakakage,Ura,Tobizaru,Terutsuyoshi
Kenning,13.0,Maegashira,Takakeisho,Abi,Daieisho,Kotonowaka,Kotoshoho
Khizan,5.0,Maegashira,Terunofuji,Takanosho,Tamawashi,Kotonowaka,Myogiryu
KungFu Grip,15.0,Juryo,Terunofuji,Wakatakakage,Ura,Tobizaru,Kotoeko
Lexorin,5.0,Juryo,Mitakeumi,Abi,Ura,Hokutofuji,Tochinoshin
Lid,9.0,Maegashira,Mitakeumi,Abi,Ichinojo,Kotonowaka,Chiyomaru
Liquid Communism,3.0,Juryo,Terunofuji,Hoshoryu,Ishiura,Tobizaru,Tochinoshin
LlamaTrauma,10.0,Maegashira,Terunofuji,Hoshoryu,Ichinojo,Aoiyama,Chiyomaru
Log082,7.0,Juryo,Shodai,Wakatakakage,Ura,Tobizaru,Terutsuyoshi
Maigius,4.0,Juryo,Mitakeumi,Hoshoryu,Takarafuji,Shimanoumi,Yutakayama
MalarkeyToboggan,2.0,Maegashira,Terunofuji,Hoshoryu,Meisei,Okinoumi,Chiyomaru
Marching Powder,3.0,Maegashira,Mitakeumi,Abi,Endo,Takayasu,Kagayaki
Mode 7,15.0,Juryo,Takakeisho,Hoshoryu,Tamawashi,Sadanoumi,Nishikigi
MyChemicalImbalance,8.0,Maegashira,Takakeisho,Takanosho,Ichinojo,Kotonowaka,Kagayaki
Neodoomium,12.0,Maegashira,Takakeisho,Abi,Tamawashi,Kotonowaka,Kotoeko
Netsky,13.0,Maegashira,Terunofuji,Wakatakakage,Ura,Kotonowaka,Myogiryu
NuclearPotato,2.0,Juryo,Mitakeumi,Wakatakakage,Kiribayama,Takayasu,Chiyomaru
Pakled,11.0,Maegashira,Terunofuji,Takanosho,Ura,Tobizaru,Akua
pseudodragon,15.0,Juryo,Takakeisho,Hoshoryu,Kiribayama,Kotonowaka,Kotoshoho
QuasiQuack,17.0,Maegashira,Mitakeumi,Hoshoryu,Onosho,Hokutofuji,Kotoeko
ratmosphere,1.0,Juryo,Takakeisho,Abi,Tamawashi,Hokutofuji,Kotoshoho
Robviously,6.0,Juryo,Takakeisho,Wakatakakage,Endo,Okinoumi,Akua
scripterror,10.0,Maegashira,Takakeisho,Abi,Tamawashi,Takayasu,Terutsuyoshi
Scythe,8.0,Juryo,Shodai,Hoshoryu,Meisei,Wakamotoharu,Kotokuzan
Shiroc,6.0,Juryo,Mitakeumi,Takanosho,Ura,Tobizaru,Chiyomaru
sivad,2.0,Sekiwake,Terunofuji,Wakatakakage,Ura,Takayasu,Terutsuyoshi
Skjorte,1.0,Sekiwake,Mitakeumi,Hoshoryu,Tamawashi,Kotonowaka,Kotoshoho
some kinda jackal,15.0,Juryo,Mitakeumi,Abi,Ura,Takayasu,Chiyomaru
Spokes,3.0,Juryo,Mitakeumi,Abi,Ura,Hokutofuji,Tochinoshin
Takuan,1.0,Maegashira,Mitakeumi,Wakatakakage,Ura,Kotonowaka,Kotoshoho
Teddybear,14.0,Maegashira,Mitakeumi,Wakatakakage,Ishiura,Kotonowaka,Kotoeko
Thauros,1.0,Sekiwake,Mitakeumi,Abi,Tamawashi,Hokutofuji,Kotokuzan
Tiny Bug Child,1.0,Ozeki,Takakeisho,Abi,Daieisho,Kotonowaka,Kotoshoho
Tochiazuma,3.0,Maegashira,Terunofuji,Hoshoryu,Tamawashi,Wakamotoharu,Kotoeko
ullerrm,15.0,Juryo,Takakeisho,Abi,Tamawashi,Kotonowaka,Tochinoshin
Vargatron,11.0,Maegashira,Takakeisho,Abi,Meisei,Takayasu,Kotoshoho
whats for dinner,1.0,Maegashira,Mitakeumi,Takanosho,Takarafuji,Wakamotoharu,Tochinoshin
