Poster,Day,Traded,For
captainblastum,7,Terunofuji,Mitakeumi
Charles Gnarwin,6,Terunofuji,Mitakeumi
Chinook,7,Terunofuji,Mitakeumi
Eli949,6,Terunofuji,Mitakeumi
Gaghskull,6,Terunofuji,Mitakeumi
GoatSeeGuy,6,Terunofuji,Mitakeumi
Khizan,6,Terunofuji,Mitakeumi
Liquid Communism,4,Ishiura,Tamawashi
Liquid Communism,6,Terunofuji,Mitakeumi
MyChemicalImbalance,7,Takanosho,Wakatakakage
Pakled,6,Terunofuji,Mitakeumi
some kinda jackal,5,Chiyomaru,Myogiryu
Teddybear,4,Ishiura,Endo
Tochiazuma,6,Terunofuji,Mitakeumi
beesantj,7,Terunofuji,Mitakeumi
Firebatgyro,7,Terunofuji,Mitakeumi
ilmucche,7,Terunofuji,Mitakeumi
Iron Chef Nex,7,Terunofuji,Mitakeumi
jmzero,7,Terunofuji,Mitakeumi
Jobbo_Fett,7,Terunofuji,Takakeisho
KungFu Grip,7,Terunofuji,Mitakeumi
LlamaTrauma,7,Terunofuji,Takakeisho
MalarkeyToboggan,7,Terunofuji,Takakeisho
Netsky,7,Terunofuji,Mitakeumi
sivad,7,Terunofuji,Mitakeumi
Everyone's Favorite Poster,8,Chiyonokuni,Akua
