Poster,Day,Traded,For
Thauros,2,Ishiura,Kagayaki
Martytoof,3,Takayasu,Meisei
Kenning,3,Kotoeko,Myogiryu
Martytoof,4,Ura,Onosho
Vargatron,5,Takayasu,Meisei
MyChemicalImbalance,5,Tsurugisho,Chiyomaru
Tiny Bug Child,5,Takayasu,Mitakeumi
Fluffdaddy,5,Takayasu,Mitakeumi
whats for dinner,6,Hoshoryu,Kiribayama
Lid,6,Hokutofuji,Takarafuji
Marching Powder,6,Hokutofuji,Takarafuji
QuasiQuack,6,Hoshoryu,Wakatakakage
Beeswax,6,Hoshoryu,Kiribayama
Ice Phisherman,6,Hokutofuji,Kiribayama
Skjorte,6,Hoshoryu,Kiribayama
pseudodragon,6,Hoshoryu,Kiribayama
Maigius,6,Hokutofuji,Takarafuji
anakha,6,Hoshoryu,Kiribayama
Communist Thoughts,6,Hoshoryu,Kotonowaka
Helianthus Annuus,6,Ichiyamamoto,Chiyonokuni
Thauros,6,Hokutofuji,Kiribayama
NuclearPotato,6,Chiyoshoma,Kotonowaka
NuclearPotato,7,Ichiyamamoto,Endo
Bellwether,7,Hoshoryu,Kiribayama
Vargatron,7,Hoshoryu,Kiribayama
Vargatron,8,Ichiyamamoto,Chiyonokuni
Teddybear,8,Chiyoshoma,Kiribayama
