Rank,Rikishi,Hoshitori,W,L
Y1e,Terunofuji,O*OO*#--------,3,3
O1e,Shodai,****O*OOOOOO*O,8,6
O1w,Takakeisho,O**OOOOO*OO****,8,7
O2w,Mitakeumi,OOOO*OOOO*O*O*O,11,4
S1e,Wakatakakage,OOO*OOOOOOOO*O,12,2
S1w,Abi,*OOOO*OO****O*O,8,7
K1e,Takanosho,*O*******O*OO**,4,11
K1w,Hoshoryu,**OO*OO***OO*OO,8,7
M1e,Daieisho,OO**OO**O***OOO,8,7
M1w,Ura,***O*******OO*O,4,11
M2e,Ichinojo,*OO*OO*O*OOOO**,9,6
M2w,Tamawashi,**O*OO*O**OO*O*,7,8
M3e,Onosho,O**O*%**O*O***O,6,9
M3w,Meisei,O**************,1,14
M4e,Kiribayama,OO*OO*O*OO*OO*O,10,5
M4w,Endo,*OO%*OO*O*O***O,8,7
M5e,Takarafuji,O******OO**O*OO,6,9
M5w,Ishiura,*O*#------***O*,2,7
M6e,Hokutofuji,**OOO**O*OO*OOO,9,6
M6w,Kotonowaka,OOO*OOOOOO**OO*,11,4
M7e,Takayasu,OOOOOOOOOO*OO**,12,3
M7w,Okinoumi,**O******OO*OO*,5,10
M8e,Chiyoshoma,OO*****O*O*O***,5,10
M8w,Sadanoumi,***O*O****O*O*O,5,10
M9e,Tobizaru,O**OO*O**O*OOOO,9,6
M9w,Wakamotoharu,*OO*OOO*O*OO**O,9,6
M10e,Shimanoumi,**OO**OOOO**O*O,8,7
M10w,Aoiyama,OO**O****OOOO**,7,8
M11e,Myogiryu,*OOO****O*O**OO,7,8
M11w,Terutsuyoshi,O*O**O%*OO**OO*,8,7
M12e,Kotoeko,*O*OOO*OOO**OO*,9,6
M12w,Chiyotairyu,O**O**O*O*O*O*O,7,8
M13e,Chiyomaru,****OOOO*****O*,5,10
M13w,Chiyonokuni,*OOOO*#----O***,5,6
M14e,Kotoshoho,O***OOOO*O*O*OO,9,6
M14w,Yutakayama,OOO*****OOOO***,7,8
M15e,Akua,**O****O**O***O,4,11
M15w,Tochinoshin,O**OOO*OOOO**O*,9,6
M16e,Nishikigi,OOO**OO*OO**OO*,9,6
M16w,Kotokuzan,*O*O*OO*O**O*O*,7,8
M17e,Kagayaki,*OOOO******OO*O,7,8
M17w,Ichiyamamoto,O*****OO**OOOOO,8,7
J1e,Oho,OO*OOOOO*O*O**O,10,5
J1w,Tsurugisho,***OOOO***OO**O,7,8
J2e,Azumaryu,*OOO*OOOO*OOO**,10,5
J2w,Hidenoumi,O*O*OO***O*OOO*,8,7
J3e,Kaisei,O*O*O*O********,4,11
J3w,Tohakuryu,*OO******OOOO*O,7,8
J4e,Asanowaka,***O***O*OO**O*,5,10
J4w,Kaisho,OO***O****OO***,5,10
J5e,Daiamami,O***O**OO**OO*O,7,8
J5w,Nishikifuji,*O****OOO***OOO,7,8
J6e,Midorifuji,OOOOO*OO*OO*OOO,12,3
J6w,Shohozan,**O****OO****O*,4,11
J7e,Mitoryu,O*OO*OOOOOO**O*,10,5
J7w,Tokushoryu,***OO**OOOO**O*,7,8
J8e,Yago,OO*OOO**O**O*O*,8,7
J8w,Daishomaru,*O***OO***O*O**,5,10
