East,East_record,West,West_record
Shodai,8-6,Wakatakakage,12-2
Mitakeumi,11-4,Takakeisho,8-7
Takayasu,12-3,Abi,8-7
Takanosho,4-11,Sadanoumi,5-10
Kotonowaka,11-4,Hoshoryu,8-7
Daieisho,8-7,Aoiyama,7-8
Okinoumi,5-10,Ura,4-11
Ichinojo,9-6,Tobizaru,9-6
Endo,8-7,Tamawashi,7-8
Onosho,6-9,Chiyomaru,5-10
Chiyotairyu,7-8,Meisei,1-14
Kiribayama,10-5,Kotoeko,9-6
Takarafuji,6-9,Chiyonokuni,5-6-4
Akua,4-11,Ishiura,2-7-6
Hokutofuji,9-6,Yutakayama,7-8
Chiyoshoma,5-10,Kotoshoho,9-6
Nishikigi,9-6,Wakamotoharu,9-6
Shimanoumi,8-7,Kotokuzan,7-8
Myogiryu,7-8,Tochinoshin,9-6
Kagayaki,7-8,Terutsuyoshi,8-7
Hidenoumi,8-7,Ichiyamamoto,8-7
