Poster,Tier,Pick,Trade
anakha,Y/O, Takakeisho,3:Terunofuji
anakha,S/K, Mitakeumi,
anakha,M1-5, Daieisho,
anakha,M6-10, Onosho,
anakha,M11+, Ishiura,
Banana Canada,Y/O, Terunofuji,
Banana Canada,S/K, Wakatakakage,
Banana Canada,M1-5, Takanosho,
Banana Canada,M6-10, AOIYAMA,
Banana Canada,M11+, Ura,
bartolimu,Y/O, Terunofuji,
bartolimu,S/K, Mitakeumi,
bartolimu,M1-5, Takanosho,
bartolimu,M6-10, Tamawashi,
bartolimu,M11+, Tsurugisho,
Beeswax,Y/O, Terunofuji,
Beeswax,S/K, Wakatakakage,
Beeswax,M1-5, Hokutofuji,
Beeswax,M6-10, AOIYAMA,
Beeswax,M11+, Ichiyamamoto,
Bellwether,Y/O, Takakeisho,3:Terunofuji
Bellwether,S/K, Wakatakakage,
Bellwether,M1-5, Hoshoryu,
Bellwether,M6-10, Terutsuyoshi,
Bellwether,M11+, Kaisei,
bessantj,Y/O, Hakuho,
bessantj,S/K, Meisei,
bessantj,M1-5, Endo,6:Hoshoryu
bessantj,M6-10, Myogiryu,
bessantj,M11+, Ura,
Biosys,Y/O, Hakuho,
Biosys,S/K, Wakatakakage,
Biosys,M1-5, Tobizaru,
Biosys,M6-10, Onosho,
Biosys,M11+, Ishiura,
Brut,Y/O, Takakeisho,3:Shodai
Brut,S/K, Mitakeumi,
Brut,M1-5, Hoshoryu,
Brut,M6-10, Kiribayama,
Brut,M11+, Ura,
Cage Kicker,Y/O, Takakeisho,3:Terunofuji
Cage Kicker,S/K, Wakatakakage,
Cage Kicker,M1-5, Endo,6:Takanosho
Cage Kicker,M6-10, Terutsuyoshi,
Cage Kicker,M11+, Tokushoryu,
captainblastum,Y/O, Hakuho,
captainblastum,S/K, Mitakeumi,
captainblastum,M1-5, Ichinojo,
captainblastum,M6-10, Takarafuji,
captainblastum,M11+, Ura,
Charles Gnarwin,Y/O, Terunofuji,
Charles Gnarwin,S/K, Wakatakakage,
Charles Gnarwin,M1-5, Endo,6:Hoshoryu
Charles Gnarwin,M6-10, Terutsuyoshi,
Charles Gnarwin,M11+, Ura,
Chinook,Y/O, Terunofuji,
Chinook,S/K, Wakatakakage,
Chinook,M1-5,Daieisho,
Chinook,M6-10, Terutsuyoshi,
Chinook,M11+, Ura,
Communist Thoughts,Y/O, Takakeisho,3:Terunofuji
Communist Thoughts,S/K, Wakatakakage,
Communist Thoughts,M1-5, Tobizaru,
Communist Thoughts,M6-10, Aoiyama,
Communist Thoughts,M11+ Chiyomaru,,
Crusty Nutsack,Y/O, Hakuho,
Crusty Nutsack,S/K, Wakatakakage,
Crusty Nutsack,M1-5, Tobizaru,
Crusty Nutsack,M6-10, Onosho,
Crusty Nutsack,M11+, Kaisei,
Dias,Y/O, Hakuho,
Dias,S/K, Mitakeumi,
Dias,M1-5, Endo,6:Ichinojo
Dias,M6-10, AOIYAMA,
Dias,M11+, Ishiura,
Eli949,Y/O, Hakuho,
Eli949,S/K, Wakatakakage,
Eli949,M1-5, Kotoeko,
Eli949,M6-10, AOIYAMA,
Eli949,M11+, Tokushoryu,
Everyones Favorite Poster,Y/O, Terunofuji,
Everyones Favorite Poster,S/K, Mitakeumi,
Everyones Favorite Poster,M1-5, Hokutofuji,
Everyones Favorite Poster,M6-10, AOIYAMA,
