Poster,gRank,gTier,YO,SK,M1-5,M6-10,M11+
anakha,15.0,Maegashira,Terunofuji,Mitakeumi,Hoshoryu,Aoiyama,Endo
Banana Canada,2.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Myogiryu,Endo
bartolimu,3.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Myogiryu,Chiyomaru
Beeswax,8.0,Maegashira,Terunofuji,Takayasu,Hoshoryu,Aoiyama,Ichiyamamoto
Bellwether,15.0,Maegashira,Terunofuji,Mitakeumi,Hoshoryu,Tobizaru,Ichiyamamoto
bessantj,2.0,Komusubi,Terunofuji,Mitakeumi,Hoshoryu,Ura,Endo
Brut,9.0,Maegashira,Terunofuji,Mitakeumi,Hoshoryu,Aoiyama,Endo
captainblastum,1.0,Sekiwake,Terunofuji,Takayasu,Wakatakakage,Aoiyama,Endo
Charles Gnarwin,3.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Ura,Kaisei
Chinook,7.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Terutsuyoshi,Tokushoryu
Communist Thoughts,1.0,Juryo,Terunofuji,Takayasu,Hoshoryu,Tobizaru,Chiyomaru
Crusty Nutsack,3.0,Juryo,Terunofuji,Mitakeumi,Kiribayama,Onosho,Kotoeko
Dias,12.0,Maegashira,Terunofuji,Ichinojo,Wakatakakage,Ura,Chiyomaru
Diplomat,10.0,Juryo,Terunofuji,Mitakeumi,Hokutofuji,Okinoumi,Tochinoshin
Eli949,2.0,Juryo,Terunofuji,Takayasu,Wakatakakage,Onosho,Kotoeko
Everyones Favorite Poster,7.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Tobizaru,Endo
Firebatgyro,11.0,Juryo,Terunofuji,Meisei,Kotonowaka,Ura,Ichiyamamoto
Fluffdaddy,6.0,Maegashira,Terunofuji,Takayasu,Takanosho,Aoiyama,Endo
Gaghskull,11.0,Juryo,Terunofuji,Takayasu,Takanosho,Ura,Tochinoshin
GoatSeeGuy,1.0,Ozeki,Terunofuji,Takayasu,Wakatakakage,Tobizaru,Endo
Halloween Jack,7.0,Juryo,Terunofuji,Mitakeumi,Hokutofuji,Tobizaru,Kaisei
Helianthus Annuus,11.0,Maegashira,Terunofuji,Takayasu,Hokutofuji,Ura,Ichiyamamoto
Ice Phisherman,5.0,Juryo,Terunofuji,Mitakeumi,Hokutofuji,Onosho,Kaisei
ilmucche,7.0,Juryo,Terunofuji,Meisei,Kiribayama,Onosho,Tochinoshin
Iron Chef Nex,11.0,Juryo,Terunofuji,Takayasu,Takanosho,Ura,Ichiyamamoto
jmzero,13.0,Maegashira,Terunofuji,Takayasu,Hoshoryu,Myogiryu,Kagayaki
Jobbo_Fett,4.0,Juryo,Terunofuji,Takayasu,Kotonowaka,Terutsuyoshi,Tochinoshin
Kenning,1.0,Maegashira,Terunofuji,Meisei,Hoshoryu,Tobizaru,Kotoeko
Khizan,5.0,Maegashira,Terunofuji,Ichinojo,Kotonowaka,Terutsuyoshi,Tochinoshin
KungFu Grip,11.0,Juryo,Terunofuji,Takayasu,Kotonowaka,Tobizaru,Kotoeko
Lid,1.0,Maegashira,Shodai,Ichinojo,Hokutofuji,Hidenoumi,Kotoeko
Liquid Communism,6.0,Juryo,Terunofuji,Ichinojo,Takanosho,Aoiyama,Tochinoshin
LlamaTrauma,17.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Chiyotairyu,Endo
Maigius,16.0,Maegashira,Takakeisho,Mitakeumi,Hokutofuji,Okinoumi,Chiyonokuni
MalarkeyToboggan,4.0,Maegashira,Terunofuji,Takayasu,Hoshoryu,Onosho,Endo
Marching Powder,13.0,Maegashira,Terunofuji,Takayasu,Hokutofuji,Aoiyama,Chiyomaru
Martytoof,8.0,Juryo,Terunofuji,Takayasu,Wakatakakage,Ura,Chiyomaru
MyChemicalImbalance,9.0,Maegashira,Terunofuji,Takayasu,Kotonowaka,Tobizaru,Tsurugisho
Netsky,1.0,Juryo,Terunofuji,Takayasu,Kiribayama,Ura,Yutakayama
NuclearPotato,8.0,Juryo,Terunofuji,Takayasu,Chiyoshoma,Ura,Ichiyamamoto
Pakled,4.0,Maegashira,Terunofuji,Ichinojo,Wakatakakage,Chiyotairyu,Ichiyamamoto
pseudodragon,10.0,Maegashira,Terunofuji,Mitakeumi,Hoshoryu,Tobizaru,Endo
QuasiQuack,14.0,Maegashira,Terunofuji,Meisei,Hoshoryu,Tobizaru,Kotoeko
Robviously,6.0,Juryo,Terunofuji,Meisei,Wakatakakage,Okinoumi,Yutakayama
scripterror,2.0,Maegashira,Terunofuji,Takayasu,Wakatakakage,Aoiyama,Endo
